id,name,location,formatted_country,country,province,city,district,street,number
1,北京大学,"116.310918,39.992873",北京市海淀区北京大学,中国,北京市,北京市,海淀区,[],[]
2,清华大学,"116.326936,40.003213",北京市海淀区清华大学,中国,北京市,北京市,海淀区,[],[]
3,上海交通大学,"104.080817,30.402719",四川省成都市双流区上海交通大学,中国,四川省,成都市,双流区,[],[]
4,复旦大学,"120.255965,35.969640",山东省青岛市黄岛区复旦大学,中国,山东省,青岛市,黄岛区,[],[]
5,浙江大学,"117.144400,35.096577",山东省枣庄市滕州市浙江大学,中国,山东省,枣庄市,滕州市,[],[]
6,国防科大,"112.999384,28.229822",湖南省长沙市开福区国防科大(公交站),中国,湖南省,长沙市,开福区,[],[]
7,中国科学技术大学,"117.263450,31.839082",安徽省合肥市蜀山区中国科学技术大学,中国,安徽省,合肥市,蜀山区,[],[]
8,中国人民大学,"116.319754,39.970457",北京市海淀区人民大学(公交站),中国,北京市,北京市,海淀区,[],[]
9,南京大学,"120.737801,31.276387",江苏省苏州市虎丘区南京大学苏州研究生院,中国,江苏省,苏州市,虎丘区,[],[]
10,北京航空航天大学,"113.941072,22.527119",广东省深圳市南山区北京航空航天大学,中国,广东省,深圳市,南山区,[],[]
11,北京理工大学,"116.310850,39.960914",北京市理工大学,中国,北京市,北京市,海淀区,[],[]
12,哈尔滨工业大学,"113.954441,22.537646",广东省深圳市南山区哈尔滨工业大学,中国,广东省,深圳市,南山区,[],[]
13,西安交通大学,"129.603683,44.561042",黑龙江省牡丹江市西安区北京交通大学,中国,黑龙江省,牡丹江市,西安区,[],[]
14,南开大学,"117.157944,39.106283",天津市南开区南开大学(公交站),中国,天津市,天津市,南开区,[],[]
15,同济大学,"121.506357,31.282086",上海市杨浦区同济大学(地铁站),中国,上海市,上海市,杨浦区,[],[]
16,武汉大学,"114.364339,30.536334",湖北省武汉市武昌区武汉大学,中国,湖北省,武汉市,武昌区,[],[]
17,华中科技大学,"114.413301,30.513197",湖北省武汉市洪山区华中科技大学,中国,湖北省,武汉市,洪山区,[],[]
18,北京师范大学,"116.364139,39.962637",北京市师范大学,中国,北京市,北京市,海淀区,[],[]
19,东南大学,"120.745343,31.270273",江苏省苏州市虎丘区东南大学,中国,江苏省,苏州市,虎丘区,[],[]
20,四川大学,"104.092227,30.633585",四川省成都市武侯区四川大学(公交站),中国,四川省,成都市,武侯区,[],[]
21,华东师范大学,"121.640049,31.189858",上海市浦东新区华东师范大学,中国,上海市,上海市,浦东新区,[],[]
22,电子科技大学,"104.705900,28.791154",四川省宜宾市翠屏区电子科技大学,中国,四川省,宜宾市,翠屏区,[],[]
23,中山大学,"113.392517,22.517024",广东省中山市,中国,广东省,中山市,[],[],[]
24,天津大学,"117.162958,39.110669",天津市南开区天津大学(公交站),中国,天津市,天津市,南开区,[],[]
25,厦门大学,"118.093521,24.437226",福建省厦门市思明区厦门大学,中国,福建省,厦门市,思明区,[],[]
26,华南理工大学,"113.783993,23.047200",广东省东莞市华南江西理工大学,中国,广东省,东莞市,[],[],[]
27,西北工业大学,"108.910038,34.240884",陕西省西安市莲湖区西北工业大学(地铁站),中国,陕西省,西安市,莲湖区,[],[]
28,山东大学,"117.067901,36.687174",山东省济南市历城区山东大学,中国,山东省,济南市,历城区,[],[]
29,重庆大学,"106.472604,29.563815",重庆市沙坪坝区重庆大学,中国,重庆市,重庆市,沙坪坝区,[],[]
30,中南大学,"112.931736,28.163572",湖南省长沙市岳麓区中南大学(公交站),中国,湖南省,长沙市,岳麓区,[],[]
31,吉林大学,"125.279958,43.826249",吉林省长春市朝阳区吉林大学,中国,吉林省,长春市,朝阳区,[],[]
32,兰州大学,"103.856588,36.049956",甘肃省兰州市城关区兰州大学(地铁站),中国,甘肃省,兰州市,城关区,[],[]
33,大连理工大学,"121.525020,38.883244",辽宁省大连市甘井子区大连理工大学,中国,辽宁省,大连市,甘井子区,[],[]
34,中国农业大学,"87.571073,43.813450",新疆维吾尔自治区乌鲁木齐市沙依巴克区农业大学(地铁站),中国,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,[],[]
35,中国海洋大学,"110.308346,21.148394",广东省湛江市麻章区海洋大学(公交站),中国,广东省,湛江市,麻章区,[],[]
36,中央民族大学,"116.320491,39.950579",北京市海淀区中央民族大学,中国,北京市,北京市,海淀区,[],[]
37,湖南大学,"112.945311,28.178169",湖南省长沙市岳麓区湖南大学,中国,湖南省,长沙市,岳麓区,[],[]
38,东北大学,"123.418324,41.765235",辽宁省沈阳市和平区东北大学,中国,辽宁省,沈阳市,和平区,[],[]
39,西北农林科技大学,"108.074122,34.281562",陕西省咸阳市杨陵区西北农林科技大学,中国,陕西省,咸阳市,杨陵区,[],[]
